îN,èoê∂ó¶,éÄñSó¶,ç•à˜ó¶,ó£ç•ó¶
1990,10,6.7,5.9,1.28
1991,9.9,6.7,6,1.37
1992,9.8,6.9,6.1,1.45
1993,9.6,7.1,6.4,1.52
1994,10,7.1,6.3,1.57
1995,9.6,7.4,6.4,1.6
1996,9.7,7.2,6.4,1.66
1997,9.5,7.3,6.2,1.78
1998,9.6,7.5,6.3,1.94
1999,9.4,7.8,6.1,2
2000,9.5,7.7,6.4,2.1
2001,9.3,7.7,6.4,2.27
2002,9.2,7.8,6,2.3
2003,8.9,8,5.9,2.25
2004,8.8,8.2,5.7,2.15
2005,8.4,8.6,5.7,2.08
2006,8.7,8.6,5.8,2.04
2007,8.6,8.8,5.7,2.02
2008,8.7,9.1,5.8,1.99
2009,8.5,9.1,5.6,2.01
2010,8.5,9.5,5.5,1.99
2011,8.3,9.9,5.2,1.87
2012,8.2,10,5.3,1.87
2013,8.2,10.1,5.3,1.84
